timestamp,z
1759998197.7278907,0.724
1759998197.7278907,0.126
1759998197.778172,-0.048
1759998197.778172,0.841
1759998197.778172,0.726
1759998197.778172,0.164
1759998197.8280227,-0.044
1759998197.8280227,0.84
1759998197.8280227,0.727
1759998197.8280227,0.216
1759998197.8779416,-0.061
1759998197.8779416,0.856
1759998197.8779416,0.741
1759998197.8779416,0.155
1759998197.9281685,-0.074
1759998197.9281685,0.862
1759998197.9281685,0.752
1759998197.9281685,0.186
1759998197.9781327,-0.078
1759998197.9781327,0.858
1759998197.9781327,0.755
1759998197.9781327,0.139
1759998198.0280006,-0.076
1759998198.0280006,0.867
1759998198.0280006,0.775
1759998198.0280006,0.214
1759998198.0780594,-0.088
1759998198.0780594,0.884
1759998198.0780594,0.792
1759998198.0780594,0.2
1759998198.128304,-0.083
1759998198.128304,0.869
1759998198.128304,0.783
1759998198.128304,0.203
1759998198.1783047,-0.064
1759998198.1783047,0.883
1759998198.1783047,0.805
1759998198.1783047,0.187
1759998198.2283213,-0.07
1759998198.2283213,0.889
1759998198.2283213,0.822
1759998198.2283213,0.172
1759998198.2783835,-0.049
1759998198.2783835,0.824
1759998198.2783835,0.755
1759998198.2783835,0.189
1759998198.2783835,-0.161
1759998198.3282092,-0.144
1759998198.3282092,0.883
1759998198.3282092,0.796
1759998198.3282092,0.121
1759998198.3781705,0.364
1759998198.4281633,-0.059
1759998198.4281633,0.218
1759998198.4780638,-0.644
1759998198.4780638,0.67
1759998198.4780638,0.651
1759998198.4780638,0.393
1759998198.4780638,-0.137
1759998198.5275035,1.173
1759998198.5275035,-0.135
1759998198.5275035,-0.019
1759998198.5275035,0.414
1759998198.5275035,0.418
1759998198.5780766,0.478
1759998198.5780766,0.042
1759998198.627553,-0.564
1759998198.627553,-0.114
1759998198.6771696,-0.168
1759998198.7774498,-0.114
1759998198.7774498,-0.106
1759998198.7774498,-0.122
1759998198.8764615,0.075
1759998198.8764615,-0.154
1759998198.8764615,-0.181
1759998198.9762537,-0.163
1759998199.0766544,-0.008
1759998199.0766544,-0.096
1759998199.1268532,-0.034
1759998199.1767316,0.13
1759998199.2762127,0.136
1759998199.2762127,0.126
1759998199.426487,0.041
1759998199.5273192,-0.354
1759998199.6771154,0.165
1759998199.7271626,-0.26
1759998199.7271626,-0.234
1759998199.7271626,-0.259
1759998199.776704,-0.108
1759998199.776704,0.068
1759998199.8267474,0.095
1759998199.977017,0.135
1759998199.977017,0.12
1759998200.177352,-0.242
1759998200.177352,-0.298
1759998200.2267082,-0.186
1759998200.3276896,-0.071
1759998200.3276896,-0.202
1759998200.4769738,-0.038
1759998200.6280465,-0.445
1759998200.6280465,0.119
1759998200.6280465,0.098
1759998200.6776617,1.558
1759998200.7280478,0.176
1759998200.7773614,0.779
1759998200.8272166,0.079
1759998200.876933,0.594
1759998200.9273355,-0.17
1759998200.9273355,0.893
1759998200.977459,-0.144
1759998200.977459,1.125
1759998200.977459,1.055
1759998201.0270035,-0.223
1759998201.0270035,0.936
1759998201.0772142,0.045
1759998201.0772142,0.818
1759998201.0772142,0.738
1759998201.0772142,1.817
1759998201.0772142,-0.027
1759998201.127374,-0.786
1759998201.127374,0.842
1759998201.127374,0.751
1759998201.177813,0.011
1759998201.177813,0.955
1759998201.177813,0.853
1759998201.177813,-0.447
1759998201.177813,-0.014
1759998201.227725,-0.073
1759998201.227725,0.985
1759998201.227725,0.008
1759998201.2772353,-0.099
1759998201.2772353,0.954
1759998201.2772353,0.85
1759998201.2772353,0.238
1759998201.3274837,0.178
1759998201.3274837,0.871
1759998201.3274837,0.81
1759998201.3774235,0.061
1759998201.3774235,0.86
1759998201.3774235,0.754
1759998201.3774235,1.544
1759998201.4273722,0.319
1759998201.4273722,0.666
1759998201.4273722,0.562
1759998201.4776242,-0.007
1759998201.4776242,0.799
1759998201.4776242,0.722
1759998201.4776242,-0.454
1759998201.4776242,-0.298
1759998201.5273607,-0.05
1759998201.5273607,0.899
1759998201.5273607,0.847
1759998201.5273607,1.72
1759998201.5273607,-0.154
1759998201.5774608,0.019
1759998201.5774608,-0.926
1759998201.5774608,0.939
1759998201.5774608,0.864
1759998201.5774608,-0.025
1759998201.6275065,-0.115
1759998201.6275065,0.899
1759998201.6275065,0.83
1759998201.6275065,1.381
1759998201.6772838,-0.171
1759998201.6772838,0.917
1759998201.6772838,0.845
1759998201.6772838,-0.394
1759998201.727377,-0.117
1759998201.727377,-0.855
1759998201.727377,0.891
1759998201.727377,0.814
1759998201.727377,-0.278
1759998201.7776494,0.067
1759998201.7776494,0.816
1759998201.7776494,0.749
1759998201.7776494,0.082
1759998201.8276327,-0.004
1759998201.8276327,0.76
1759998201.8276327,0.705
1759998201.8276327,1.743
1759998201.8276327,-0.589
1759998201.8276327,0.028
1759998201.8776326,-0.154
