timestamp,rcs
1759998206.8273566,-1.8
1759998206.8273566,-3.9
1759998206.8273566,-3.9
1759998206.8273566,-3.5
1759998206.8273566,-2.7
1759998206.8782704,-1.8
1759998206.8782704,-3.8
1759998206.8782704,-3.8
1759998206.8782704,-3.4
1759998206.9282517,-1.8
1759998206.9282517,-3.8
1759998206.9282517,-3.8
1759998206.9282517,-3.3
1759998206.97835,-1.7
1759998206.97835,-3.8
1759998206.97835,-3.8
1759998206.97835,-3.3
1759998207.028376,-1.7
1759998207.028376,-3.9
1759998207.028376,-3.9
1759998207.028376,-3.5
1759998207.0785143,-1.8
1759998207.0785143,-3.9
1759998207.0785143,-3.9
1759998207.0785143,-3.6
1759998207.0785143,0.1
1759998207.1286247,-1.8
1759998207.1286247,-3.9
1759998207.1286247,-3.9
1759998207.1286247,-3.5
1759998207.1286247,0.8
1759998207.1785874,-1.8
1759998207.1785874,-3.9
1759998207.1785874,-3.9
1759998207.1785874,-3.0
1759998207.22842,-1.8
1759998207.22842,-3.9
1759998207.22842,-3.9
1759998207.22842,-3.5
1759998207.22842,-1.9
1759998207.2781572,-1.8
1759998207.2781572,-3.9
1759998207.2781572,-3.9
1759998207.2781572,-3.4
1759998207.2781572,-4.5
1759998207.3277555,-1.8
1759998207.3277555,-3.8
1759998207.3277555,-3.8
1759998207.3277555,-3.1
1759998207.3277555,-1.4
1759998207.3779082,-1.8
1759998207.3779082,-3.8
1759998207.3779082,-3.8
1759998207.3779082,-3.8
1759998207.4286435,-1.9
1759998207.4286435,-3.8
1759998207.4286435,-3.8
1759998207.4286435,-3.0
1759998207.4286435,-4.4
1759998207.4286435,-4.4
1759998207.4784675,-1.8
1759998207.4784675,-3.8
1759998207.4784675,-3.8
1759998207.4784675,-3.1
1759998207.52824,-1.9
1759998207.52824,-3.9
1759998207.52824,-3.9
1759998207.52824,-3.1
1759998207.5782394,-1.9
1759998207.5782394,-3.8
1759998207.5782394,-3.8
1759998207.5782394,-3.0
1759998207.5782394,-3.0
1759998207.5782394,-2.7
1759998207.627779,-1.9
1759998207.627779,-3.8
1759998207.627779,-3.8
1759998207.627779,-3.5
1759998207.6783118,-1.9
1759998207.6783118,-3.8
1759998207.6783118,-3.8
1759998207.6783118,-3.4
1759998207.7284496,-1.9
1759998207.7284496,-3.7
1759998207.7284496,-3.7
1759998207.7284496,-3.6
1759998207.778297,-1.9
1759998207.778297,-4.0
1759998207.778297,-4.0
1759998207.778297,-3.2
1759998207.778297,0.6
1759998207.8284488,-1.9
1759998207.8284488,-3.8
1759998207.8284488,-3.8
1759998207.8284488,-3.4
1759998207.8783245,-1.9
1759998207.8783245,-3.9
1759998207.8783245,-3.9
1759998207.8783245,-3.3
1759998207.9284039,-1.9
1759998207.9284039,-3.8
1759998207.9284039,-3.8
1759998207.9284039,-3.7
1759998207.9284039,-3.4
1759998207.9284039,-3.4
1759998207.978318,-1.9
1759998207.978318,-3.9
1759998207.978318,-3.9
1759998207.978318,-3.4
1759998207.978318,-3.7
1759998208.0281644,-1.9
1759998208.0281644,-3.8
1759998208.0281644,-3.8
1759998208.0281644,-3.6
1759998208.0784342,-1.9
1759998208.0784342,-3.9
1759998208.0784342,-3.9
1759998208.0784342,-3.1
1759998208.128514,-1.9
1759998208.128514,-3.9
1759998208.128514,-3.9
1759998208.128514,-3.3
1759998208.1785972,-1.9
1759998208.1785972,-3.9
1759998208.1785972,-3.9
1759998208.1785972,-2.9
1759998208.1785972,-1.6
1759998208.2283416,-1.9
1759998208.2283416,-3.9
1759998208.2283416,-3.9
1759998208.2283416,-3.8
1759998208.2782571,-1.8
1759998208.2782571,-3.9
1759998208.2782571,-3.9
1759998208.2782571,-3.5
1759998208.2782571,-1.3
1759998208.2782571,-0.3
1759998208.328678,-1.8
1759998208.328678,-3.8
1759998208.328678,-3.8
1759998208.328678,-3.5
1759998208.3787036,-1.8
1759998208.3787036,-3.8
1759998208.3787036,-3.8
1759998208.3787036,-3.3
1759998208.4279184,-1.8
1759998208.4279184,-3.9
1759998208.4279184,-3.9
1759998208.4279184,-3.0
1759998208.477778,-1.8
1759998208.477778,-3.8
1759998208.477778,-3.8
1759998208.477778,-3.2
1759998208.5283523,-1.8
1759998208.5283523,-3.9
1759998208.5283523,-3.9
1759998208.5283523,-3.4
1759998208.5283523,-3.2
1759998208.5283523,-1.7
1759998208.578302,-1.8
1759998208.578302,-3.8
1759998208.578302,-3.8
1759998208.578302,-3.3
1759998208.6281328,-1.9
1759998208.6281328,-3.7
1759998208.6281328,-3.7
1759998208.6281328,-3.3
1759998208.677917,-1.8
1759998208.677917,-3.8
1759998208.677917,-3.8
1759998208.677917,-3.1
1759998208.7281356,-1.9
1759998208.7281356,-3.8
1759998208.7281356,-3.8
