timestamp,y
1759998201.8276327,1.166
1759998201.8276327,1.183
1759998201.8276327,-0.154
1759998201.8776326,0.368
1759998201.8776326,-0.025
1759998201.928217,0.37
1759998201.928217,0.092
1759998201.928217,-0.815
1759998201.977781,0.369
1759998201.977781,0.084
1759998201.977781,-0.137
1759998202.0277295,0.371
1759998202.0277295,0.104
1759998202.0277295,-0.827
1759998202.0277295,-0.883
1759998202.0777385,0.37
1759998202.0777385,0.101
1759998202.0777385,-0.82
1759998202.1281266,0.37
1759998202.1281266,0.081
1759998202.1281266,-0.819
1759998202.178139,0.369
1759998202.178139,0.093
1759998202.178139,-0.829
1759998202.228143,0.37
1759998202.228143,0.091
1759998202.228143,-0.824
1759998202.2778563,0.369
1759998202.2778563,0.104
1759998202.2778563,-0.824
1759998202.3278694,0.369
1759998202.3278694,0.103
1759998202.3278694,-0.823
1759998202.3278694,0.269
1759998202.3278694,-0.143
1759998202.3779845,0.37
1759998202.3779845,0.1
1759998202.3779845,-0.823
1759998202.3779845,0.197
1759998202.4280326,0.369
1759998202.4280326,0.087
1759998202.4280326,0.182
1759998202.4280326,-0.149
1759998202.4777617,0.369
1759998202.4777617,-1.11
1759998202.4777617,0.093
1759998202.4777617,-0.827
1759998202.4777617,0.225
1759998202.5277555,0.369
1759998202.5277555,0.089
1759998202.5277555,-0.818
1759998202.5277555,0.23
1759998202.578016,0.369
1759998202.578016,0.094
1759998202.578016,-0.822
1759998202.578016,0.219
1759998202.578016,-0.17
1759998202.6291487,0.369
1759998202.6291487,-1.107
1759998202.6291487,0.103
1759998202.6291487,-0.827
1759998202.6291487,0.237
1759998202.6795945,0.369
1759998202.6795945,0.094
1759998202.6795945,-0.824
1759998202.6795945,0.264
1759998202.6795945,1.086
1759998202.728733,0.369
1759998202.728733,-1.113
1759998202.728733,0.093
1759998202.728733,-0.822
1759998202.728733,0.275
1759998202.728733,1.101
1759998202.7787035,0.369
1759998202.7787035,-1.107
1759998202.7787035,0.093
1759998202.7787035,-0.825
1759998202.7787035,0.254
1759998202.8282309,0.369
1759998202.8282309,0.096
1759998202.8282309,-0.824
1759998202.8282309,0.254
1759998202.8282309,-1.101
1759998202.8778105,0.369
1759998202.8778105,0.083
1759998202.8778105,-0.819
1759998202.8778105,0.249
1759998202.9277363,0.369
1759998202.9277363,0.1
1759998202.9277363,-0.825
1759998202.9277363,-0.837
1759998202.9277363,0.25
1759998202.978051,0.369
1759998202.978051,0.089
1759998202.978051,-0.824
1759998202.978051,0.233
1759998203.0279434,0.369
1759998203.0279434,0.092
1759998203.0279434,-0.822
1759998203.0279434,0.26
1759998203.0779364,0.369
1759998203.0779364,0.094
1759998203.0779364,-0.824
1759998203.0779364,0.19
1759998203.1281362,0.369
1759998203.1281362,0.093
1759998203.1281362,-0.823
1759998203.1281362,0.212
1759998203.1784475,0.369
1759998203.1784475,0.095
1759998203.1784475,-0.823
1759998203.1784475,0.229
1759998203.2284071,0.369
1759998203.2284071,0.098
1759998203.2284071,-0.825
1759998203.2284071,0.22
1759998203.2780702,0.369
1759998203.2780702,0.099
1759998203.2780702,-0.826
1759998203.2780702,0.258
1759998203.3280482,0.369
1759998203.3280482,0.091
1759998203.3280482,-0.822
1759998203.3280482,0.267
1759998203.3280482,-0.25
1759998203.3780005,0.369
1759998203.3780005,0.094
1759998203.3780005,-0.824
1759998203.3780005,0.271
1759998203.3780005,-0.255
1759998203.4277556,0.369
1759998203.4277556,0.096
1759998203.4277556,-0.823
1759998203.4277556,0.279
1759998203.4277556,-0.257
1759998203.4775581,0.369
1759998203.4775581,0.097
1759998203.4775581,-0.822
1759998203.4775581,0.294
1759998203.4775581,-0.297
1759998203.527534,0.369
1759998203.527534,0.097
1759998203.527534,-0.823
1759998203.527534,0.263
1759998203.5775185,0.369
1759998203.5775185,0.097
1759998203.5775185,-0.823
1759998203.5775185,0.229
1759998203.6277518,0.369
1759998203.6277518,0.093
1759998203.6277518,-0.823
1759998203.6277518,0.235
1759998203.6277518,-0.319
1759998203.6787117,0.369
1759998203.6787117,0.093
1759998203.6787117,-0.822
1759998203.6787117,0.228
1759998203.6787117,-0.063
1759998203.7289739,0.369
1759998203.7289739,0.093
1759998203.7289739,-0.823
1759998203.7289739,0.195
1759998203.778738,0.369
1759998203.778738,0.093
1759998203.778738,-0.822
1759998203.778738,0.203
1759998203.778738,-0.131
1759998203.8284204,0.369
1759998203.8284204,0.092
1759998203.8284204,-0.822
1759998203.8284204,0.182
1759998203.8284204,-0.301
1759998203.8780499,0.369
1759998203.8780499,0.091
1759998203.8780499,-0.825
1759998203.8780499,0.182
1759998203.8780499,-0.28
1759998203.9288757,0.369
1759998203.9288757,0.089
1759998203.9288757,-0.824
1759998203.9288757,0.213
1759998203.9288757,-0.325
1759998203.978598,0.369
1759998203.978598,0.092
1759998203.978598,-0.822
1759998203.978598,0.252
1759998203.978598,-0.433
1759998204.0283985,0.369
1759998204.0283985,0.092
1759998204.0283985,-0.824
1759998204.0283985,0.236
1759998204.0784764,0.369
1759998204.0784764,0.093
1759998204.0784764,-0.824
